pathway	meanAL	meanIF	meanRA	log2FC	p	padj
METH-ACETATE-PWY: methanogenesis from acetate	0.00148547677170116	0.000683784390459392	0.00108463058108028	-1.11817519802927	0.0317460317460317	0.761904761904762
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.00477208049341105	0.00308514680670821	0.00392861365005963	-0.629113974320782	0.0317460317460317	0.761904761904762
PWY-3841: folate transformations II (plants)	0.015255172451795	0.0179664572730195	0.0166108148624073	0.235993198601024	0.0555555555555556	0.761904761904762
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	0.00146375890783262	0.00074133653684713	0.00110254772233988	-0.980517940333632	0.0555555555555556	0.761904761904762
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.0148445680012365	0.0177929204325329	0.0163187442168847	0.261352113512752	0.0555555555555556	0.761904761904762
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	0.00241676976863591	0.00138174292995394	0.00189925634929493	-0.806143905459146	0.0555555555555556	0.761904761904762
ANAEROFRUCAT-PWY: homolactic fermentation	0.0038897363213143	0.00244093489866079	0.00316533560998755	-0.672018471919063	0.0952380952380952	0.761904761904762
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.0104622435109532	0.00860582043871298	0.00953403197483311	-0.281777867566254	0.0952380952380952	0.761904761904762
FERMENTATION-PWY: mixed acid fermentation	0.00217301926785847	0.00129934441521812	0.00173618184153829	-0.741470933984476	0.0952380952380952	0.761904761904762
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.00428381377846664	0.00332551268088792	0.00380466322967728	-0.365221971606256	0.0952380952380952	0.761904761904762
PWY-6123: inosine-5'-phosphate biosynthesis I	0.00937911328028704	0.0146218198248755	0.0120004665525813	0.640544292640251	0.0952380952380952	0.761904761904762
PWY-6124: inosine-5'-phosphate biosynthesis II	0.00849551843222212	0.0134841746526329	0.0109898465424275	0.666430503804041	0.0952380952380952	0.761904761904762
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	0.00323582093170151	0.00198504051069611	0.00261043072119881	-0.704682503728226	0.0952380952380952	0.761904761904762
PWY0-1296: purine ribonucleosides degradation	0.0138979493554694	0.00947594882521702	0.0116869490903432	-0.552481278871075	0.0952380952380952	0.761904761904762
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.003438270504727	0.00468474975669506	0.00406151013071103	0.446177318019505	0.0952380952380952	0.761904761904762
TRNA-CHARGING-PWY: tRNA charging	0.019219097944908	0.0214604043899157	0.0203397511674119	0.159128798112146	0.0952380952380952	0.761904761904762
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.0113721148103389	0.0141627283452236	0.0127674215777813	0.316573652516453	0.150793650793651	0.769160997732426
HSERMETANA-PWY: L-methionine biosynthesis III	0.00696155269113653	0.0109058798247761	0.0089337162579563	0.647550197459186	0.150793650793651	0.769160997732426
PWY-1042: glycolysis IV	0.0159237240881264	0.014033117032817	0.0149784205604717	-0.182330078108182	0.150793650793651	0.769160997732426
PWY-2941: L-lysine biosynthesis II	0.0058972810005221	0.00752689714534325	0.00671208907293267	0.351952360869682	0.150793650793651	0.769160997732426
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.00666747154536829	0.0101739251535667	0.00842069834946751	0.609590152261121	0.150793650793651	0.769160997732426
PWY-7977: L-methionine biosynthesis IV	0.00601414299752518	0.00972590498722762	0.0078700239923764	0.693381790687054	0.150793650793651	0.769160997732426
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	0.00275899358080866	0.00139328728266296	0.00207614043173581	-0.985137063027486	0.150793650793651	0.769160997732426
RHAMCAT-PWY: L-rhamnose degradation I	0.00290938860063116	0.00186998861311957	0.00238968860687537	-0.637411019055924	0.150793650793651	0.769160997732426
1CMET2-PWY: folate transformations III (E. coli)	0.0079506973479953	0.0113258761818807	0.00963828676493799	0.510415285633833	0.222222222222222	0.769160997732426
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00889631296150016	0.00670450834398961	0.00780041065274489	-0.408022992992504	0.222222222222222	0.769160997732426
ARO-PWY: chorismate biosynthesis I	0.0129599088439468	0.0145222674359048	0.0137410881399258	0.164199180175752	0.222222222222222	0.769160997732426
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.0162004687086545	0.0184246373706808	0.0173125530396676	0.185589921791484	0.222222222222222	0.769160997732426
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0137136040141749	0.0151625683239544	0.0144380861690647	0.144896324176889	0.222222222222222	0.769160997732426
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.00599395849281626	0.00420675948083617	0.00510035898682621	-0.510697523619749	0.222222222222222	0.769160997732426
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	0.00640680889960851	0.00488934383565725	0.00564807636763288	-0.389895219496347	0.222222222222222	0.769160997732426
PWY-5100: pyruvate fermentation to acetate and lactate II	0.00643486482493102	0.00488934383565725	0.00566210433029414	-0.396198121544196	0.222222222222222	0.769160997732426
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.00144253339397114	0.000883077018479558	0.00116280520622535	-0.707360518510881	0.222222222222222	0.769160997732426
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	0.00147317871502152	0.000962863797966722	0.00121802125649412	-0.613010232214646	0.222222222222222	0.769160997732426
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.00286635230342777	0.00198370697370657	0.00242502963856717	-0.530793154734182	0.222222222222222	0.769160997732426
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.00642966264300771	0.00491176663036365	0.00567071463668568	-0.388431697866612	0.222222222222222	0.769160997732426
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0122697654188826	0.0100055500180419	0.0111376577184623	-0.294280584913077	0.30952380952381	0.769160997732426
PANTO-PWY: phosphopantothenate biosynthesis I	0.00791223454877668	0.0107183233834143	0.00931527896609548	0.437874419479816	0.30952380952381	0.769160997732426
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	0.0086747994309156	0.0114551565227767	0.0100649779768461	0.401054503093466	0.30952380952381	0.769160997732426
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.0143750312452075	0.0177015887576687	0.0160383100014381	0.30029490029103	0.30952380952381	0.769160997732426
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.000897616413672988	0.00143890434111698	0.00116826037739498	0.680195651817496	0.30952380952381	0.769160997732426
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.0140023176548227	0.0173376387822048	0.0156699782185137	0.308221970418929	0.30952380952381	0.769160997732426
PWY-6527: stachyose degradation	0.00980602829782908	0.00726443826069359	0.00853523327926133	-0.432766214951396	0.30952380952381	0.769160997732426
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	0.0137456970499508	0.0170049128742202	0.0153753049620855	0.306951431056129	0.30952380952381	0.769160997732426
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.00380405022055024	0.00706672344948755	0.00543538683501889	0.893330095166023	0.30952380952381	0.769160997732426
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.00204796800851566	0.00112807523637643	0.00158802162244604	-0.859755835190068	0.30952380952381	0.769160997732426
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	0.00345599986401854	0.0049020687036781	0.00417903428384832	0.504164430509403	0.30952380952381	0.769160997732426
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.00144554559108884	0.00108302516321095	0.00126428537714989	-0.416213547706729	0.420634920634921	0.769160997732426
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.00180770417277717	0.00202660505719348	0.00191715461498533	0.16482020378461	0.420634920634921	0.769160997732426
GLUCONEO-PWY: gluconeogenesis I	0.0052832375127936	0.00437573080781389	0.00482948416030374	-0.271841660149001	0.420634920634921	0.769160997732426
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.0165804097416033	0.0184853161236033	0.0175328629326033	0.156891089976945	0.420634920634921	0.769160997732426
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.0109752107616392	0.0117170646730352	0.0113461377173372	0.09435422839037	0.420634920634921	0.769160997732426
PWY-2942: L-lysine biosynthesis III	0.0124864319611735	0.0133044662065446	0.012895449083859	0.091542244044188	0.420634920634921	0.769160997732426
PWY-5005: biotin biosynthesis II	0.00128740615561425	0.000754375327161611	0.00102089074138793	-0.770321891724347	0.420634920634921	0.769160997732426
PWY-5103: L-isoleucine biosynthesis III	0.0138330158533168	0.0158418275075774	0.0148374216804471	0.195609824839224	0.420634920634921	0.769160997732426
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.00539613554017641	0.00401264354176637	0.00470438954097139	-0.427281424388425	0.420634920634921	0.769160997732426
PWY-5667: CDP-diacylglycerol biosynthesis I	0.00687867400555566	0.00561515218629891	0.00624691309592728	-0.292758173940779	0.420634920634921	0.769160997732426
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.0125878979458146	0.0136856654086344	0.0131367816772245	0.120619001584869	0.420634920634921	0.769160997732426
PWY-6270: isoprene biosynthesis I	0.00185689548110715	0.000876956177780515	0.00136692582944383	-1.0814485067478	0.420634920634921	0.769160997732426
PWY-6317: D-galactose degradation I (Leloir pathway)	0.00655893080423664	0.00526449731015377	0.00591171405719521	-0.317110801191194	0.420634920634921	0.769160997732426
PWY-6609: adenine and adenosine salvage III	0.0152923714123121	0.0130278032566809	0.0141600873344965	-0.231201909638747	0.420634920634921	0.769160997732426
PWY-6703: preQ0 biosynthesis	0.0052257334236663	0.00766304836078818	0.00644439089222724	0.552197084471221	0.420634920634921	0.769160997732426
PWY-6823: molybdopterin biosynthesis	0.00146569224886338	0.00121393411152297	0.00133981318019317	-0.2716881113703	0.420634920634921	0.769160997732426
PWY-7560: methylerythritol phosphate pathway II	0.00167086859798704	0.000775775211787702	0.00122332190488737	-1.10589239420031	0.420634920634921	0.769160997732426
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.00687867400555566	0.00561515218629891	0.00624691309592728	-0.292758173940779	0.420634920634921	0.769160997732426
PWY0-1477: ethanolamine utilization	0.00147303813178985	0.00115452826317047	0.00131378319748016	-0.351221298647537	0.420634920634921	0.769160997732426
PWY66-399: gluconeogenesis III	0.00305675737242885	0.00231861080733584	0.00268768408988234	-0.398591170890352	0.420634920634921	0.769160997732426
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	0.0111565026456425	0.00938396074356589	0.0102702316946042	-0.249591533158738	0.420634920634921	0.769160997732426
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0.00171474960295964	0.00097574782821235	0.00134524871558599	-0.812780973119337	0.420634920634921	0.769160997732426
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.00309364648701755	0.00258528903709554	0.00283946776205655	-0.258891098336913	0.420634920634921	0.769160997732426
LACTOSECAT-PWY: lactose and galactose degradation I	0.0016708166541469	0.000967933209072797	0.00131937493160985	-0.786947512000083	0.547619047619048	0.876190476190476
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.00559417590734271	0.00479747580848205	0.00519582585791238	-0.221607269115293	0.547619047619048	0.876190476190476
PWY-5941: glycogen degradation II	0.00965614926861096	0.00780994865549084	0.0087330489620509	-0.30609959992062	0.547619047619048	0.876190476190476
PWY-6151: S-adenosyl-L-methionine salvage I	0.00761424246324282	0.00669120108152492	0.00715272177238387	-0.18640917681045	0.547619047619048	0.876190476190476
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	0.00183467290524543	0.00135947010775938	0.0015970715065024	-0.432203752760452	0.547619047619048	0.876190476190476
PWY-7237: myo-, chiro- and scyllo-inositol degradation	0.00377184433703818	0.0032756166879889	0.00352373051251354	-0.203445667145998	0.547619047619048	0.876190476190476
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.00935415420166307	0.008447659550256	0.00890090687595954	-0.147038969660102	0.547619047619048	0.876190476190476
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.00217172241493569	0.00175321129350417	0.00196246685421993	-0.308681339027983	0.547619047619048	0.876190476190476
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	0.00541110072182921	0.00497508898985487	0.00519309485584204	-0.121176402694815	0.547619047619048	0.876190476190476
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	0.00205658464370137	0.00185937091557768	0.00195797777963953	-0.145361490068513	0.547619047619048	0.876190476190476
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.0177346043063911	0.0168923840689718	0.0173134941876815	-0.0701901315641774	0.69047619047619	0.911143838978891
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.0197382813369158	0.0212418226096875	0.0204900519733017	0.105906009469301	0.69047619047619	0.911143838978891
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0019660856040693	0.00177063929704876	0.00186836245055903	-0.150974839138571	0.69047619047619	0.911143838978891
FUCCAT-PWY: fucose degradation	0.00129717253795096	0.00106764752638021	0.00118241003216558	-0.280696057034752	0.69047619047619	0.911143838978891
GLUTORN-PWY: L-ornithine biosynthesis I	0.0135124864958704	0.0115456632554032	0.0125290748756368	-0.226923936630568	0.69047619047619	0.911143838978891
PWY-5686: UMP biosynthesis I	0.0209850338242164	0.0217544345154104	0.0213697341698134	0.0519462960041161	0.69047619047619	0.911143838978891
PWY-5973: cis-vaccenate biosynthesis	0.00592422130802766	0.00568520505805714	0.0058047131830424	-0.0594029129607201	0.69047619047619	0.911143838978891
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0195164889747465	0.0202961877464116	0.0199063383605791	0.0565123955900238	0.69047619047619	0.911143838978891
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0195164889747465	0.0202961877464116	0.0199063383605791	0.0565123955900238	0.69047619047619	0.911143838978891
PWY-6608: guanosine nucleotides degradation III	0.00158893624706696	0.00150606244185586	0.00154749934446141	-0.0772297246770037	0.69047619047619	0.911143838978891
PWY-6901: superpathway of glucose and xylose degradation	0.00190344314372628	0.00139704185414939	0.00165024249893784	-0.445961665224876	0.69047619047619	0.911143838978891
PWY-702: L-methionine biosynthesis II	0.00143131687378404	0.0010495836121989	0.00124045024299147	-0.447159712147566	0.69047619047619	0.911143838978891
PWY-7238: sucrose biosynthesis II	0.0146389443079268	0.0123080955414485	0.0134735199246877	-0.250185307349094	0.69047619047619	0.911143838978891
PWY-7663: gondoate biosynthesis (anaerobic)	0.00505926937119067	0.00479423180956164	0.00492675059037615	-0.0776136261107538	0.69047619047619	0.911143838978891
PWY-7790: UMP biosynthesis II	0.0209850338242164	0.0217544345154104	0.0213697341698134	0.0519462960041161	0.69047619047619	0.911143838978891
PWY-7791: UMP biosynthesis III	0.0209850338242164	0.0217544345154104	0.0213697341698134	0.0519462960041161	0.69047619047619	0.911143838978891
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.00149641414365886	0.00140443032564948	0.00145042223465417	-0.091461352702274	0.69047619047619	0.911143838978891
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.00354123128442104	0.00312038926306433	0.00333081027374269	-0.182470129185514	0.841269841269841	0.952942829049024
PWY-5981: CDP-diacylglycerol biosynthesis III	0.00460570571715512	0.00443734486795014	0.00452152529255263	-0.0537136674204821	0.841269841269841	0.952942829049024
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.00137087426503396	0.00127353951180753	0.00132220688842074	-0.106172162915591	0.841269841269841	0.952942829049024
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0128819042890189	0.0131502515586318	0.0130160779238254	0.0297422346927193	0.841269841269841	0.952942829049024
PWY-6629: superpathway of L-tryptophan biosynthesis	0.00488977898610064	0.00428365846293772	0.00458671872451918	-0.190884061515005	0.841269841269841	0.952942829049024
PWY-6700: queuosine biosynthesis I (de novo)	0.0120061870040332	0.0139043330817848	0.012955260042909	0.211740100956132	0.841269841269841	0.952942829049024
PWY-6936: seleno-amino acid biosynthesis (plants)	0.00471303710302516	0.00506863208280681	0.00489083459291599	0.104917936936302	0.841269841269841	0.952942829049024
PWY-7185: UTP and CTP dephosphorylation I	0.00149840394054591	0.00130288962421157	0.00140064678237874	-0.201567349866327	0.841269841269841	0.952942829049024
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.00813970614864686	0.00820326214822598	0.00817148414843642	0.011219647033918	0.841269841269841	0.952942829049024
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.00117807919682628	0.00109662274321369	0.00113735097001999	-0.103278344852076	0.841269841269841	0.952942829049024
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	0.00163861345234199	0.00134335400798684	0.00149098373016441	-0.286442639621449	0.841269841269841	0.952942829049024
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.00297081343037547	0.0033926139295562	0.00318171367996583	0.191478901009817	0.841269841269841	0.952942829049024
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0.00374837395197375	0.00436957467917606	0.0040589743155749	0.221173266498625	0.841269841269841	0.952942829049024
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.00191794826780119	0.00182665785694928	0.00187230306237523	-0.0703198001695783	0.841269841269841	0.952942829049024
TRPSYN-PWY: L-tryptophan biosynthesis	0.00279764049725673	0.00230920355131012	0.00255342202428343	-0.276706203030688	0.841269841269841	0.952942829049024
VALSYN-PWY: L-valine biosynthesis	0.0239407478567973	0.0246160446824188	0.0242783962696081	0.0401290948093062	0.841269841269841	0.952942829049024
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.0103349041535117	0.0104635703720991	0.0103992372628054	0.0178484854149458	1	1
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.0118566962210653	0.0118594552190774	0.0118580757200714	0.000335641061901391	1	1
HISDEG-PWY: L-histidine degradation I	0.0035612250849661	0.00349586567555221	0.00352854538025915	-0.0267162992193801	1	1
HISTSYN-PWY: L-histidine biosynthesis	0.0074968524955669	0.0079660384910423	0.0077314454933046	0.0875661010847628	1	1
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.00444133668191837	0.0042976084306289	0.00436947255627363	-0.0474490398320261	1	1
PWY-5097: L-lysine biosynthesis VI	0.0128264189626972	0.0128358062455481	0.0128311126041227	0.00105539808121715	1	1
PWY-5695: inosine 5'-phosphate degradation	0.00300965918647119	0.00307987804371404	0.00304476861509261	0.0332621736350152	1	1
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0173972788960824	0.018022464053414	0.0177098714747482	0.0509317230230455	1	1
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.0130931463124124	0.0133645844881073	0.0132288654002598	0.0296009245829414	1	1
PWY-6897: thiamine diphosphate salvage II	0.00163633197338197	0.00146611633111138	0.00155122415224668	-0.158363591462956	1	1
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.00216737254117231	0.00208202712103118	0.00212469983110175	-0.0579310194187238	1	1
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	0.00130345970268574	0.00117771822997415	0.00124058896632995	-0.146233490745152	1	1
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	0.00932290775159696	0.00943834022008458	0.00938062398584077	0.0177512924329762	1	1
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	0.00961426649603303	0.0107074988199139	0.0101608826579734	0.155357499958183	1	1
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.00151152242429958	0.00155964865414884	0.00153558553922421	0.045189251089582	1	1
