final_bin	group	origin_binner	raw_bin_matched	completeness_pct	contamination_pct	quality_tier_MIMAG	genome_size_bp	n50_bp	gc_pct	num_contigs	gtdb_classification
MEGAHIT-SemiBin2Refined-group-AL.79.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_79.fa	92.38	1.54	High	2700841	27800	57.61	176	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp910589315
MEGAHIT-SemiBin2Refined-group-AL.81.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_81.fa	93.03	1.66	High	2694910	11015	62.69	322	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp022795575
MEGAHIT-SemiBin2Refined-group-AL.84_sub.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_84.fa	83.09	1.25	Medium	1823524	6080	63.77	380	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum
MEGAHIT-SemiBin2Refined-group-AL.93_sub.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_93.fa	88.82	1.44	Medium	3280255	37883	57.46	242	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp910577805
MEGAHIT-SemiBin2Refined-group-AL.97.fa	AL	SemiBin2	MEGAHIT-SemiBin2-group-AL_97.fa	81.54	5.61	Medium	2079035	7134	62.88	392	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp022804995
MEGAHIT-SemiBin2Refined-group-IF.100.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_100.fa	95.91	3.48	High	2403445	40333	59.37	98	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vermiculatibacterium;s__Vermiculatibacterium sp022799035
MEGAHIT-SemiBin2Refined-group-IF.101.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_101.fa	71.03	0.67	Medium	2320294	5850	62.98	501	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910588365
MEGAHIT-SemiBin2Refined-group-IF.106.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_106.fa	79.62	1.54	Medium	2221498	5051	58.2	511	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp910589315
MEGAHIT-SemiBin2Refined-group-IF.109_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_109.fa	87.6	2.6	Medium	3408520	10672	48.46	471	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp009917455
MEGAHIT-SemiBin2Refined-group-IF.113.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_113.fa	89.03	2.73	Medium	2051960	6256	59.72	411	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Avimonas_A;s__Avimonas_A sp022800315
MEGAHIT-SemiBin2Refined-group-IF.117.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_117.fa	95.77	3.89	High	2377225	76353	59.19	60	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp910584805
MEGAHIT-SemiBin2Refined-group-IF.119.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_119.fa	99.81	0.35	High	3063354	31157	46.9	177	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Lepagella;s__Lepagella muris_A
MEGAHIT-SemiBin2Refined-group-IF.124.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_124.fa	98.66	1.08	High	2444775	18075	56.47	205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp910577315
MEGAHIT-SemiBin2Refined-group-IF.127.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_127.fa	83.39	1.04	Medium	2673741	57913	43.36	89	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B sp910589105
MEGAHIT-SemiBin2Refined-group-IF.135.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_135.fa	77.62	0.86	Medium	2444830	16108	61.13	224	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CANAAV01;s__CANAAV01 sp910585415
MEGAHIT-SemiBin2Refined-group-IF.140_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_140.fa	100.0	26.65	Low	4178776	109773	54.04	124	
MEGAHIT-SemiBin2Refined-group-IF.149.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_149.fa	94.63	2.21	High	4530215	63408	51.17	156	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587555
MEGAHIT-SemiBin2Refined-group-IF.150.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_150.fa	97.52	0.12	High	1990468	468813	59.26	13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes muris
MEGAHIT-SemiBin2Refined-group-IF.151.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_151.fa	99.85	0.54	High	2856310	62044	53.64	92	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775265
MEGAHIT-SemiBin2Refined-group-IF.152.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_152.fa	89.09	2.56	Medium	2576390	10115	44.8	349	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia intestinalis
MEGAHIT-SemiBin2Refined-group-IF.153_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_153.fa	99.96	0.01	High	2931307	56847	57.34	197	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910587995
MEGAHIT-SemiBin2Refined-group-IF.154.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_154.fa	86.29	2.51	Medium	2649007	42162	59.13	156	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp910577805
MEGAHIT-SemiBin2Refined-group-IF.158.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_158.fa	81.66	4.62	Medium	2482169	15045	60.78	261	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp910587705
MEGAHIT-SemiBin2Refined-group-IF.159.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_159.fa	93.91	3.45	High	2747812	25192	55.84	213	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395
MEGAHIT-SemiBin2Refined-group-IF.16.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_16.fa	81.2	9.22	Medium	2817290	9742	68.17	428	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus;s__Enterorhabdus sp009911695
MEGAHIT-SemiBin2Refined-group-IF.163_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_163.fa	93.44	1.75	High	2682030	129085	62.26	35	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia sp910585575
MEGAHIT-SemiBin2Refined-group-IF.171.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_171.fa	96.79	0.26	High	2849599	12695	59.8	322	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp022794295
MEGAHIT-SemiBin2Refined-group-IF.180_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_180.fa	94.2	5.85	Medium	2757655	20259	64.39	222	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia caecimuris
MEGAHIT-SemiBin2Refined-group-IF.184_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_184.fa	99.99	5.62	Medium	3206571	123888	53.2	58	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp910589485
MEGAHIT-SemiBin2Refined-group-IF.188.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_188.fa	95.02	5.32	Medium	3342208	24341	47.57	226	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sporofaciens;s__Sporofaciens sp910574885
MEGAHIT-SemiBin2Refined-group-IF.189.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_189.fa	96.04	0.32	High	1850354	15163	50.85	208	d__Bacteria;p__Bacillota;c__Dehalobacteriia;o__UBA4068;f__UBA4997;g__Avidehalobacter;s__Avidehalobacter sp022797295
MEGAHIT-SemiBin2Refined-group-IF.191.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_191.fa	92.48	0.25	High	3224104	16837	48.6	309	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sporofaciens;s__Sporofaciens sp000403455
MEGAHIT-SemiBin2Refined-group-IF.194.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_194.fa	99.94	4.85	High	2574873	23415	35.49	199	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris
MEGAHIT-SemiBin2Refined-group-IF.199.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_199.fa	94.79	2.58	High	3439269	28869	45.53	211	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275
MEGAHIT-SemiBin2Refined-group-IF.209.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_209.fa	99.69	0.52	High	3166477	44124	51.52	134	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689535
MEGAHIT-SemiBin2Refined-group-IF.215.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_215.fa	93.0	0.0	High	2660453	38946	46.12	109	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B sp011959925
MEGAHIT-SemiBin2Refined-group-IF.22_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_22.fa	82.59	2.52	Medium	3704624	7485	55.48	678	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585665
MEGAHIT-SemiBin2Refined-group-IF.240.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_240.fa	94.67	0.76	High	1861029	34268	57.0	103	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__HGM13010 sp022800755
MEGAHIT-SemiBin2Refined-group-IF.258.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_258.fa	85.61	0.0	Medium	3189491	53616	52.79	104	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587755
MEGAHIT-SemiBin2Refined-group-IF.26_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_26.fa	57.48	2.24	Medium	1755824	3547	63.87	533	
MEGAHIT-SemiBin2Refined-group-IF.282.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_282.fa	82.07	0.2	Medium	2584479	83178	49.83	93	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__Anaerotignum_A sp910576545
MEGAHIT-SemiBin2Refined-group-IF.298.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_298.fa	76.17	1.8	Medium	2330047	33461	58.68	126	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910580045
MEGAHIT-SemiBin2Refined-group-IF.302.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_302.fa	94.57	0.43	High	2680164	30876	52.55	142	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RGIG7193;s__RGIG7193 sp910586125
MEGAHIT-SemiBin2Refined-group-IF.34.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_34.fa	94.7	3.56	High	2326646	20877	60.53	177	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp013316495
MEGAHIT-SemiBin2Refined-group-IF.347.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_347.fa	87.36	0.77	Medium	2190114	34346	55.04	93	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__Faecalibaculum rodentium
MEGAHIT-SemiBin2Refined-group-IF.35.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_35.fa	79.27	2.27	Medium	2440424	9175	50.72	391	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__QZDW01;s__QZDW01 sp009917545
MEGAHIT-SemiBin2Refined-group-IF.351_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_351.fa	19.97	0.98	Low	553693	32118	60.97	38	
MEGAHIT-SemiBin2Refined-group-IF.37_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_37.fa	73.27	2.29	Medium	2789211	5222	46.23	659	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp011958945
MEGAHIT-SemiBin2Refined-group-IF.48.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_48.fa	25.41	0.51	Low	1292238	11144	48.99	185	
MEGAHIT-SemiBin2Refined-group-IF.49_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_49.fa	86.0	4.02	Medium	2719290	38164	61.43	127	
MEGAHIT-SemiBin2Refined-group-IF.50.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_50.fa	90.83	10.38	Low	3735999	29376	61.32	231	
MEGAHIT-SemiBin2Refined-group-IF.57.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_57.fa	77.96	2.26	Medium	2477656	9525	55.52	347	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lientehia;s__Lientehia sp949740745
MEGAHIT-SemiBin2Refined-group-IF.59.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_59.fa	86.74	0.0	Medium	3151282	22301	46.45	227	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Petralouisia;s__Petralouisia sp009774455
MEGAHIT-SemiBin2Refined-group-IF.60.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_60.fa	94.31	6.52	Medium	3311787	48594	57.14	192	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910587645
MEGAHIT-SemiBin2Refined-group-IF.69.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_69.fa	99.31	0.31	High	2061136	244758	58.74	25	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Leptogranulimonas;s__Leptogranulimonas caecicola
MEGAHIT-SemiBin2Refined-group-IF.70.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_70.fa	99.98	0.11	High	2604119	53496	56.26	76	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__
MEGAHIT-SemiBin2Refined-group-IF.71.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_71.fa	93.99	0.0	High	2855730	26615	58.34	183	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludihabitans;s__Paludihabitans sp022791945
MEGAHIT-SemiBin2Refined-group-IF.84_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_84.fa	84.98	1.54	Medium	1383675	7738	56.16	253	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__QANA01;s__QANA01 sp910588425
MEGAHIT-SemiBin2Refined-group-IF.8_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_8.fa	76.32	1.71	Medium	2512737	8252	59.27	429	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp022792035
MEGAHIT-SemiBin2Refined-group-IF.92.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_92.fa	83.89	0.87	Medium	2893676	9871	44.42	407	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp910588855
MEGAHIT-SemiBin2Refined-group-IF.93_sub.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_93.fa	91.08	0.44	High	3017660	8690	48.46	474	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sporofaciens;s__Sporofaciens sp910577685
MEGAHIT-SemiBin2Refined-group-IF.96.fa	IF	SemiBin2	MEGAHIT-SemiBin2-group-IF_96.fa	99.47	2.86	High	3275722	75190	44.12	126	d__Bacteria;p__Bacillota;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UBA7185;s__UBA7185 sp910585405
